,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.21535935401916503,0.034894852052537145,0.0,0.0,0.001,l1,newton-cg,"{'C': 0.001, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,40
1,0.1752549648284912,0.013782535495063468,0.0,0.0,0.001,l1,lbfgs,"{'C': 0.001, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,42
2,0.9100913524627685,0.051502547396920936,0.040569496154785153,0.005984888968658309,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.27609911834091777,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.276131042265123,1.596196210258416e-05,24
3,38.18018879890442,3.2263461415019754,0.032035112380981445,0.007039021022619137,0.001,l2,newton-cg,"{'C': 0.001, 'penalty': 'l2', 'solver': 'newton-cg'}",0.27609911834091777,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.276131042265123,1.596196210258416e-05,24
4,10.216167163848876,1.796629377233539,0.02101473808288574,0.002104593112917924,0.001,l2,lbfgs,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.27609911834091777,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.276131042265123,1.596196210258416e-05,24
5,1.6381219387054444,0.037729088325534905,0.022970008850097656,0.0021386619092723927,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.27609911834091777,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.276131042265123,1.596196210258416e-05,24
6,0.14940519332885743,0.019710978747362152,0.0,0.0,0.001,elasticnet,newton-cg,"{'C': 0.001, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,43
7,0.14353718757629394,0.008743494721355714,0.0,0.0,0.001,elasticnet,lbfgs,"{'C': 0.001, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,44
8,0.13724541664123535,0.015233974178714338,0.0,0.0,0.001,elasticnet,liblinear,"{'C': 0.001, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,45
9,0.14158592224121094,0.014337507464422304,0.0,0.0,0.01,l1,newton-cg,"{'C': 0.01, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,46
10,0.14420948028564454,0.009738325704927442,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,47
11,1.62143931388855,0.09435597481171272,0.04149365425109863,0.016141047426637547,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.27609911834091777,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.27613902324617423,0.276131042265123,1.596196210258416e-05,24
12,49.039797735214236,2.1937201236937494,0.030196380615234376,0.008093014712220197,0.01,l2,newton-cg,"{'C': 0.01, 'penalty': 'l2', 'solver': 'newton-cg'}",0.27719574411561404,0.27776636979107294,0.2771617721500471,0.27751572510168254,0.2769557426295321,0.27731907075758977,0.0002866039070212753,21
13,23.56265459060669,2.0519052548264893,0.025043582916259764,0.0017124390741511777,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.27719574411561404,0.27774472405706213,0.2771617721500471,0.27751572510168254,0.2769557426295321,0.2773147416107876,0.00027989983781197595,22
14,2.7474409103393556,0.4505712541732188,0.028252696990966795,0.009858060653912723,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.27677563447201664,0.27755154772820345,0.27651941328810853,0.276895828315297,0.2768861522368189,0.2769257152080889,0.00034109537546238365,23
15,0.1286341667175293,0.0021333526562493477,0.0,0.0,0.01,elasticnet,newton-cg,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,48
16,0.14944992065429688,0.006792256878050665,0.0,0.0,0.01,elasticnet,lbfgs,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,49
17,0.14145565032958984,0.007460355994106382,0.0,0.0,0.01,elasticnet,liblinear,"{'C': 0.01, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,50
18,0.1437208652496338,0.009485646572218152,0.0,0.0,0.1,l1,newton-cg,"{'C': 0.1, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,52
19,0.14968676567077638,0.009574080941451171,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,62
20,8.628767013549805,0.7137273945918002,0.025678491592407225,0.0031569876193153113,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.2781126357596946,0.277884972044861,0.2787852893362127,0.2786243477076358,0.2772253498623482,0.2781265189421505,0.0005572172410423937,20
21,88.18396520614624,7.078536779216829,0.023089504241943358,0.004056755077480032,0.1,l2,newton-cg,"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.2832303465246821,0.28100327919873797,0.2848338658257252,0.2831987061480877,0.28113059570995313,0.2826793586814372,0.0014438226763334437,18
