,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,158.04110622406006,20.764635578600377,0.9655160903930664,0.12902132735335575,balanced,gini,15,sqrt,1,100,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.4316631905561398,0.42719712836296975,0.4325606402877163,0.43149246733436547,0.4256572716503947,0.42971413963831717,0.0027516300061412144,103
1,171.93332872390747,41.92940798693878,1.5329013824462892,0.06164401863343249,balanced,gini,15,sqrt,1,200,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.43235520915449577,0.43019936230743977,0.43247400246408335,0.43472215261252356,0.431772284789453,0.43230460226559914,0.0014554177641629997,91
2,240.44704575538634,3.193469954001081,3.943309688568115,0.3771484184798098,balanced,gini,15,sqrt,1,500,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.43024173960416917,0.43061979519543925,0.43389812553273344,0.43541476414421443,0.43218710484723283,0.4324723058647579,0.0019585496519180564,89
3,59.39144258499145,1.6771660671645412,0.601817274093628,0.015725261916732323,balanced,gini,15,sqrt,10,100,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 100}",0.3778652878772354,0.37383506748967354,0.3779225210409904,0.3851443476072603,0.3805673957984371,0.3790669239627193,0.003723235242870316,179
4,97.89052076339722,3.822152297789471,1.299989652633667,0.10098382461810021,balanced,gini,15,sqrt,10,200,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.3802459074153186,0.3750982730828949,0.37940449934694315,0.38637031476393513,0.38043818111495353,0.3803114351448091,0.0035980542488565433,175
5,224.44249110221864,1.9317092534776352,3.4528675079345703,0.3875491750524952,balanced,gini,15,sqrt,10,500,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_estimators': 500}",0.38027293765330145,0.3770299975050314,0.3826759956277158,0.3889912501352188,0.3787371248052302,0.3815414611452996,0.004162049562933137,169
6,50.49463996887207,2.1411251543321232,0.7155299663543702,0.020103257707160153,balanced,gini,15,log2,1,100,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.4277445780275277,0.4241206088705407,0.4261523637844818,0.4357804935063414,0.42540303961362635,0.42784021676050354,0.004139596708297523,107
7,80.65809307098388,1.5271023470291911,1.5112643718719483,0.10589095685948441,balanced,gini,15,log2,1,200,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.43112709800881666,0.42419788903482675,0.4274886685647733,0.4378510477838573,0.42954405725342665,0.43004175212914014,0.004540478962451976,101
8,162.90499033927918,2.940025618641223,4.0638526439666744,0.2789042585701068,balanced,gini,15,log2,1,500,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.4360502024833615,0.42660907450741997,0.4290670097598278,0.4391092711187157,0.4285104212164978,0.43186919581716454,0.0048311902638203015,93
9,43.13087525367737,0.9618849902404623,0.5797636032104492,0.05805107365386511,balanced,gini,15,log2,10,100,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__n_estimators': 100}",0.36966933406059627,0.3668055838948627,0.3684057474115492,0.37443384746340475,0.3692454083201815,0.3697119842301189,0.00255612683744432,195
10,66.33109755516053,2.3987036007026843,1.1901515483856202,0.16883333235680642,balanced,gini,15,log2,10,200,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__n_estimators': 200}",0.369654593760382,0.3622613974357181,0.367144154372753,0.37597106154670895,0.37016175896441067,0.3690385932159945,0.004454646030841015,201
11,130.0191966533661,6.405030907074676,2.5237725734710694,0.16527015007338391,balanced,gini,15,log2,10,500,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__n_estimators': 500}",0.36915418598716926,0.362779727359678,0.3676033718929475,0.3771122095088828,0.3706426033702484,0.3694584196237852,0.004650193142195061,197
12,191.8561110496521,2.6121040725363036,0.7812662601470948,0.07406469386250389,balanced,gini,15,0.5,1,100,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.43205180623660006,0.4326535868884849,0.4349876981237206,0.44074883063074427,0.4295615740164363,0.43400069917919726,0.003790255200906643,83
