,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62,225.56143732070922,5.896700915481278,0.07570581436157227,0.002733036311040343,100.0,l1,liblinear,"{'model__C': 100.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.3158154483378023,0.3175416186168398,0.31846548815753717,0.31765998885243835,0.31260802432600576,0.31641811365812467,0.002091709632735832,27
63,1642.809257888794,38.205267390329524,0.0940744400024414,0.019046258442485964,100.0,l2,newton-cg,"{'model__C': 100.0, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.3167159972912386,0.31791122320256443,0.3200768280251771,0.31878151491737033,0.3141426542516317,0.31752564353759644,0.0020166591404319153,19
64,51.982845067977905,2.441957436072822,0.06845512390136718,0.008076944907791268,100.0,l2,lbfgs,"{'model__C': 100.0, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.3412694509505105,0.3448763842107574,0.34528048743304113,0.34435688502887374,0.3406515740673935,0.34328695633811523,0.0019318779616696866,1
65,86.15924482345581,8.630658041571182,0.06883854866027832,0.008902369072893681,100.0,l2,liblinear,"{'model__C': 100.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.31469743552594914,0.31800666847900994,0.3201605519919305,0.31793590119659587,0.312854464742365,0.3167310043871701,0.0026078287482488136,25
66,27.158779001235963,0.8445470076175507,0.0,0.0,100.0,elasticnet,newton-cg,"{'model__C': 100.0, 'model__penalty': 'elasticnet', 'model__solver': 'newton-cg'}",,,,,,,,35
67,26.739906597137452,0.8949304629938647,0.0,0.0,100.0,elasticnet,lbfgs,"{'model__C': 100.0, 'model__penalty': 'elasticnet', 'model__solver': 'lbfgs'}",,,,,,,,37
68,26.63590474128723,1.018619607992773,0.0,0.0,100.0,elasticnet,liblinear,"{'model__C': 100.0, 'model__penalty': 'elasticnet', 'model__solver': 'liblinear'}",,,,,,,,38
69,26.910474348068238,1.7499876838305037,0.0,0.0,100.0,,newton-cg,"{'model__C': 100.0, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,39
70,27.018638181686402,1.4414994317683536,0.0,0.0,100.0,,lbfgs,"{'model__C': 100.0, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,40
71,26.430729818344116,1.2939540989536549,0.0,0.0,100.0,,liblinear,"{'model__C': 100.0, 'model__penalty': None, 'model__solver': 'liblinear'}",,,,,,,,41
72,26.99607949256897,1.6598350455338866,0.0,0.0,1000.0,l1,newton-cg,"{'model__C': 1000.0, 'model__penalty': 'l1', 'model__solver': 'newton-cg'}",,,,,,,,42
73,26.53812165260315,1.4402003373351442,0.0,0.0,1000.0,l1,lbfgs,"{'model__C': 1000.0, 'model__penalty': 'l1', 'model__solver': 'lbfgs'}",,,,,,,,43
