,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,28.87701196670532,1.5987727679807504,0.8158458709716797,0.07338361796767016,balanced,gini,sqrt,1,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.46433452335125996,0.4651887725638855,0.45810830704095884,0.46125202175849905,0.4539054520399175,0.4605578153509041,0.004158010080473928,33
1,55.89407539367676,0.6830894225983979,1.1325726509094238,0.025083251077896673,balanced,gini,sqrt,1,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.4646020677719549,0.4651643117903161,0.4598408939629446,0.4636597963505975,0.4543645361394537,0.4615263212030534,0.004034321230472606,25
2,136.97520403862,0.9518628232118987,2.2122159957885743,0.048306607858988784,balanced,gini,sqrt,1,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.46280827142931247,0.46420085671488087,0.46090201399098596,0.46410387143818066,0.45512133128205234,0.4614272689710825,0.003370605300568695,27
3,19.672013664245604,0.3183188673884272,0.6613155841827393,0.01770737732794548,balanced,gini,sqrt,10,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.3915352185496631,0.3925163580234172,0.38812677595001843,0.3962309093206145,0.39361363332287674,0.39240457903331805,0.0026521876688966966,46
4,38.736735820770264,0.5776940418610014,0.833835506439209,0.031142125156739926,balanced,gini,sqrt,10,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",0.39578321955311213,0.39287901693600313,0.39254496299797836,0.39563579586953956,0.39391950951435756,0.39415250097419813,0.001350528177495462,45
5,96.08794660568238,1.6511733106762592,1.2692955493927003,0.046178610786343534,balanced,gini,sqrt,10,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 500}",0.3966378943876553,0.3940421117538603,0.39735805142925484,0.40030390455136644,0.39652258897639214,0.3969729102197058,0.0020074093486957124,43
6,21.07951593399048,0.16424957250234629,0.9387622356414795,0.05030735495696323,balanced,gini,log2,1,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",0.4628864680043711,0.4648150396840171,0.4596545652882208,0.4615255106972057,0.454373694587611,0.4606510556522851,0.0035636710849326196,32
7,40.71362047195434,0.4268212671710879,1.184595489501953,0.023250186343477777,balanced,gini,log2,1,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 200}",0.4652856154034851,0.46400509681148655,0.4604113456971383,0.46406614869131846,0.45574210766862583,0.4619020628544108,0.003484873963871033,23
8,101.76025338172913,1.1215235071787022,2.1558743476867677,0.05637407889290495,balanced,gini,log2,1,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",0.4655911468305251,0.46605795082913154,0.4616510595736079,0.46645204319866773,0.45625638340546776,0.46320171676747995,0.0038749003649845575,19
9,12.457275152206421,0.16902603294274632,0.6605917930603027,0.07126695642692626,balanced,gini,log2,10,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 10, 'n_estimators': 100}",0.3796039829998128,0.3709509938199202,0.3727814319271072,0.37586306890084253,0.3775770192028934,0.3753552993701152,0.0031390406971114684,59
10,24.424782085418702,0.4741072400312984,0.7916688919067383,0.07351799002839804,balanced,gini,log2,10,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 10, 'n_estimators': 200}",0.37972628298949784,0.3769485698992262,0.37733150865620957,0.37797392246861045,0.3816141681524057,0.37871889043318996,0.0017327038460286405,54
11,60.52244701385498,1.7562721994519583,1.1998270988464355,0.08409829220339546,balanced,gini,log2,10,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 10, 'n_estimators': 500}",0.3821065144460872,0.37969289628106967,0.37836975024545666,0.3781666060358364,0.384737445200238,0.3806146424417376,0.0024942022317810293,50
12,98.36103982925415,2.1208010551610443,0.8841310501098633,0.060892703869391725,balanced,gini,0.5,1,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.4635766230205611,0.46328378087332256,0.4570347257922864,0.46290358907525175,0.45446552323542616,0.46025284839936964,0.003771204083375716,34
13,194.5667419910431,3.3596755982724775,1.1994487762451171,0.05431806454248974,balanced,gini,0.5,1,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 200}",0.4639236760039395,0.46271662302253236,0.4575719267603089,0.46540416014036246,0.4567730976169317,0.46127789670881497,0.003467666636465542,30
